정류소ID,모바일ID,정류소명,영문명,시_도,구_군,동,X좌표,Y좌표,경유노선수,경유노선
7051000200,1048,대명공연거리건너,Daemyeong Performing Arts Street,대구광역시,남구,대명3동,12834.99431,3551.246809,7,"300, 306, 518, 609, 651, 남구1, 달서4-1"
7051000300,2226,대구보건고등학교앞,Daegu Health High School,대구광역시,달서구,두류1동,12834.44982,3551.458245,6,"618, 650, 706, 805, 836, 달서4-1"
7051000400,1223,대구보건고등학교건너,Daegu Health High School,대구광역시,남구,대명3동,12834.46395,3551.454024,7,"618, 650, 706, 805, 808, 836, 달서4"
7051000500,1003,굿모닝병원건너,Goodmorning hospital,대구광역시,달서구,두류1동,12834.4352,3551.2613,6,"618, 650, 706, 805, 836, 달서4-1"
7051000600,2236,경북여상건너,Kyongbuk Girls' Commercial High School,대구광역시,남구,대명2동,12835.4451,3551.3076,5,"349, 405, 410, 503, 649"
7051000700,2221,경북여상앞,Kyongbuk Girls' Commercial High School,대구광역시,남구,대명2동,12835.4333,3551.3364,5,"349, 405, 410-1, 503, 649"
7051000800,571,서부정류장(관문시장건너),Seobu Bus Terminal,대구광역시,달서구,송현2동,12833.3761,3550.1584,8,"600, 609, 623, 649, 650, 706, 726, 836"
7051000900,2142,서부정류장(관문시장앞),Seobu Bus Terminal,대구광역시,남구,대명11동,12833.3956,3550.1751,6,"600, 609, 623, 649, 706, 남구1"
7051001000,9117,한영한마음아동병원앞,Hanyoung Children's Hospital,대구광역시,남구,대명11동,12833.34694,3550.090531,8,"600, 609, 650, 706, 726, 750, 836, 달성2"
7051001100,987,앞산궁도장앞,Apsan Archery Field,대구광역시,달서구,송현1동,12833.66682,3549.685994,1,달서4-1
7051001200,782,대덕문화전당앞,Daeduk Culture Center,대구광역시,남구,대명9동,12834.6305,3549.9186,3,"410-1, 달서4, 달서4-1"
7051001300,777,앞산빨래터공원,Apsan Ppallaeteo Park,대구광역시,남구,대명11동,12833.8917,3549.959,2,"달서4, 달성2"
7051001400,5188,대명역(2번출구),Daemyeong Station,대구광역시,남구,대명6동,12833.8361,3550.342,8,"306, 518, 564, 600, 623, 649, 651, 서구1-1"
7051001500,2354,대구시설공단앞,Daegu Infrastructure Corporation,대구광역시,남구,대명10동,12833.6237,3550.2995,8,"306, 518, 564, 600, 623, 649, 651, 서구1"
7051001600,2143,대구시설공단건너,Daegu Infrastructure Corporation,대구광역시,남구,대명11동,12833.632,3550.2902,8,"306, 518, 564, 600, 623, 649, 651, 서구1-1"
7051001700,589,성명119안전센터건너1,Seongmyeong 119 Center,대구광역시,남구,대명11동,12833.5133,3549.9903,2,"남구1, 달성2"
7051001800,586,성명119안전센터앞,Seongmyeong 119 Center,대구광역시,남구,대명11동,12833.5537,3549.9889,3,"750, 남구1-1, 달성2"
7051001900,5553,한마음주유소앞,Hanmaeum Gas Station,대구광역시,남구,대명11동,12833.6376,3550.0393,3,"750, 남구1-1, 달성2"
7051002000,588,한마음주유소건너,Hanmaeum Gas Station,대구광역시,남구,대명11동,12833.6787,3550.0601,2,"750, 남구1"
7051002100,772,대명6동행정복지센터건너,Daemyung 6-dong Community Service Center,대구광역시,남구,대명6동,12833.93311,3550.089755,2,"750, 남구1-1"
7051002200,5211,대명6동행정복지센터앞,Daemyung 6-dong Community Service Center,대구광역시,남구,대명6동,12833.94732,3550.096407,2,"750, 남구1"
7051002300,773,대덕천주교회1,Daedeok Catholic Church,대구광역시,남구,대명6동,12834.2076,3550.093,2,"750, 남구1-1"
7051002400,769,대덕천주교회2,Daedeok Catholic Church,대구광역시,남구,대명6동,12834.238,3550.0948,2,"750, 남구1"
7051002500,764,대덕천주교회3,Daedeok Catholic Church,대구광역시,남구,대명9동,12834.2828,3550.0719,2,"410, 달서4-1"
7051002700,763,앞산별자리체험학습장1,Apsan Contellation Experiential Learning Place,대구광역시,남구,대명9동,12834.2838,3549.9723,2,"410, 달서4-1"
7051002800,766,대덕천주교회4,Daedeok Catholic Church,대구광역시,남구,대명6동,12834.2792,3550.1209,3,"410-1, 600, 달서4"
7051002900,5070,KT남대구지사앞2,KT Namdaegu District Office,대구광역시,남구,대명9동,12834.2841,3550.2572,3,"410, 600, 달서4-1"
7051003000,1630,KT남대구지사건너2,KT Namdaegu District Office,대구광역시,남구,대명6동,12834.2823,3550.3165,3,"410-1, 600, 달서4"
7051003100,2178,대명역(1번출구),Daemyeong Station,대구광역시,남구,대명10동,12833.9105,3550.3618,8,"306, 518, 564, 600, 623, 649, 651, 서구1"
7051003200,2179,대명초등학교앞,Daemyeong Elementary School,대구광역시,남구,대명6동,12834.0635,3550.3606,8,"306, 518, 564, 600, 623, 649, 651, 서구1-1"
7051003300,2177,대명초등학교건너,Daemyeong Elementary School,대구광역시,남구,대명10동,12834.1164,3550.3719,8,"306, 518, 564, 600, 623, 649, 651, 서구1"
7051003400,2180,KT남대구지사앞1,KT Namdaegu District Office,대구광역시,남구,대명9동,12834.3315,3550.355,9,"306, 410, 518, 564, 623, 649, 651, 달서4-1, 서구1-1"
7051003500,2175,KT남대구지사건너1,KT Namdaegu District Office,대구광역시,남구,대명10동,12834.3536,3550.3635,7,"306, 518, 564, 623, 649, 651, 서구1"
7051003600,648,안지랑네거리1,Anjirang (4) Junction,대구광역시,남구,대명9동,12834.5185,3550.3402,7,"306, 410, 518, 564, 649, 651, 달서4-1"
7051003700,2174,안지랑네거리2,Anjirang (4) Junction,대구광역시,남구,대명10동,12834.5156,3550.3529,9,"306, 410-1, 518, 564, 623, 649, 651, 달서4, 서구1"
7051003800,5071,대명9동행정복지센터앞,Daemyung 9-dong Community Service Center,대구광역시,남구,대명9동,12834.78068,3550.253317,2,"300, 남구1"
7051003900,755,대명9동행정복지센터건너,Daemyung 9-dong Community Service Center,대구광역시,남구,대명9동,12834.79389,3550.29312,2,"300, 남구1-1"
7051004000,5212,남명삼거리1,Nammyeong (3) Junction,대구광역시,남구,대명9동,12834.7219,3550.1325,3,"600, 750, 남구1"
7051004100,758,남명삼거리2,Nammyeong (3) Junction,대구광역시,남구,대명9동,12834.6707,3550.131,3,"600, 750, 남구1-1"
7051004200,767,룸비니유치원건너,Lumbini Kindergarten,대구광역시,남구,대명9동,12834.4429,3550.1169,3,"600, 750, 남구1"
